No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
1263,dismiss,"sa thải, thải hồi",/dɪsˈmɪs/,to decide that somebody/something is not important and not worth thinking or talking about,She claims she was unfairly dismissed from her post.,verb,B2
1264,disorder,sự rối loạn (một chức năng của cơ thể),/dɪsˈɔːdə(r)/,an illness that causes a part of the body to stop functioning correctly,Obsessive-compulsive disorder can be a debilitating mental disorder if left untreated.,noun,B2
1265,display,"bày ra, trưng bày, phô trương",/dɪˈspleɪ/,to put something in a place where people can see it easily; to show something to people,The exhibition gives local artists an opportunity to display their work.,verb,B2
1266,dispute,sự tranh cãi; cuộc tranh cãi,/dɪˈspjuːt/ /ˈdɪspjuːt/,"an argument between two people, groups or countries; discussion about a subject on which people disagree",The two companies are currently in a legal dispute over patent infringement.,noun,C1
1267,distance,"khoảng cách, quãng đường",/ˈdɪstəns/,the amount of space between two places or things,I have to drive a long distance to get to my grandmother's house.,noun,A2
1268,distant,"xa, cách, xa cách",/ˈdɪstənt/,far away in space or time,The stars are more distant from the earth than the sun.,adjective,B2
1269,distinct,"dễ nhận, dễ thấy, rõ ràng",/dɪˈstɪŋkt/,"easily or clearly heard, seen, felt, etc.",There was a distinct smell of gas.,adjective,B2
1270,distinction,"sự phân biệt, điểm phân biệt",/dɪˈstɪŋkʃn/,the act of separating people or things into different groups,There's a clear distinction between the dialects spoken in the two regions.,noun,C1
1271,distinguish,phân biệt,/dɪˈstɪŋɡwɪʃ/,to recognize the difference between two people or things,At what age are children able to distinguish between right and wrong?,verb,B2
1272,distribute,"phân phối, phân phát",/dɪˈstrɪbjuːt/ /ˈdɪstrɪbjuːt/,to give things to a large number of people; to share something between a number of people,The leaflets have been widely distributed.,verb,B2
1273,distribution,"sự phân phối, sự phân phát",/ˌdɪstrɪˈbjuːʃn/,the way that something is spread or exists over a particular area or among a particular group of people,They studied the geographical distribution of the disease.,noun,B2
1274,district,"khu vực, quận, huyện, khu",/ˈdɪstrɪkt/,"an area of a country or town, especially one that has particular features",The shopping district is always crowded on weekends.,noun,B2
1275,diverse,"đa dạng, khác nhau",/daɪˈvɜːs/,very different from each other and of various kinds,People from diverse cultures were invited to the event.,adjective,B2
1276,diversity,sự đa dạng,/daɪˈvɜːsəti/,a range of many people or things that are very different from each other,Diversity and inclusion are important values for any successful organization.,noun,B2
1277,divide,"chia, phân ra",/dɪˈvaɪd/,to separate into parts; to make something separate into parts,The cells began to divide rapidly.,verb,B2
1278,division,sự chia; sự phân chia,/dɪˈvɪʒn/,the process or result of dividing into separate parts; the process or result of dividing something or sharing it out,The organism begins as a single cell and grows by cell division.,noun,B2
1279,divorce,sự ly hôn,/dɪˈvɔːrs/,the legal ending of a marriage,The marriage ended in divorce in 1996.,noun,B2
1280,document,"văn kiện; tài liệu, tư liệu",/ˈdɒkjumənt/,"an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something",Please read and sign the attached document.,noun,A2
1281,domestic,"(thuộc) gia đình, (thuộc) trong nhà",/dəˈmestɪk/,used in the home; connected with the home or family,I’ve never been fond of domestic chores like cooking and cleaning.,adjective,B2
1282,dominant,"có ưu thế hơn; có ảnh hưởng lớn, chi phối, thống lĩnh",/ˈdɒmɪnənt/,"more important, powerful or easy to notice than other things",The firm has achieved a dominant position in the world market.,adjective,B2
1283,dominate,"thống trị, chi phối, áp đảo",/ˈdɒmɪneɪt/,"to control or have a lot of influence over somebody/something, especially in an unpleasant way",The champion boxer used his impressive skills to dominate his opponent in the ring.,verb,B2
1284,doubt,"sự nghi ngờ, sự ngờ vực; sự không chắc, sự hồ nghi",/daʊt/,a feeling of being uncertain about something or not believing something,She had no doubt in her mind that she would win the race.,noun,B1
1285,downtown,ở khu trung tâm thành phố,/ˌdaʊnˈtaʊn/,"in or towards the centre of a city, especially its main business area",I'm meeting my friend for lunch at a restaurant downtown.,adverb,B2
1286,dozen,tá (mười hai),/ˈdʌzn/,a group of twelve of the same thing,"Give me a dozen, please.","noun, determiner",B2
1287,draft,"bản phác thảo, dự án, bản nháp",/drɑːft/,a rough written version of something that is not yet in its final form,This is only the first draft of my speech.,noun,B2
1288,drag,"lôi, kéo; kéo lê",/dræɡ/,to pull somebody/something along with effort and difficulty,The sack is too heavy to lift - you’ll have to drag it.,verb,B2
1289,drama,"kịch, tuồng, phim",/ˈdrɑːmə/,"a play for the theatre, television or radio",I love to watch drama movies on the weekends.,noun,A2
1290,dramatic,"kịch tính, gây ấn tượng sâu sắc, đáng kể",/drəˈmætɪk/,"something that is characterized by intense emotions, striking contrast, or theatricality, something that is sudden or significant in a way that captures attention or causes concern",The dramatic increase in the number of COVID-19 cases has alarmed public health officials.,adjective,B2
1291,dramatically,"đột ngột, (một cách) đáng kể",/drəˈmætɪkli/,very suddenly and to a very great and often surprising degree,Prices have fallen dramatically.,adverb,B2
1292,dream,"giấc mơ, giấc mộng",/driːm/,"a series of images, events and feelings that happen in your mind while you are asleep",I had a really weird dream last night.,noun,A2
1293,dress,chiếc váy,/dres/,"a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles",She bought a beautiful new dress for the wedding.,noun,A1
1294,drop,"giọt (nước, máu, thuốc...)",/drɒp/,a very small amount of liquid that forms a round shape,The first drops of rain fell.,noun,
1295,drug,thuốc,/drʌɡ/,a substance used as a medicine or used in a medicine,She took a prescription drug to help manage her anxiety.,noun,A2
1296,dry,"khô, ráo, cạn",/draɪ/,with very little rain,"New Zealand has hot, dry summers and cold winters.",adjective,A2
1297,due,"vì, do bởi, tại, nhờ có",/duː/,caused by somebody/something; because of somebody/something,The team's success was largely due to her efforts.,adjective,B1
1298,during,"trong thời gian, trong lúc",/ˈdjʊərɪŋ/,all through a period of time,"During the summer months, I like to go swimming in the lake.",preposition,A1
1299,dust,bụi,/dʌst/,"a fine powder that consists of very small pieces of sand, earth, etc.",A cloud of dust rose as the truck drove off.,noun,B1
1300,duty,"bổn phận, nhiệm vụ, trách nhiệm",/ˈduːti/,something that you feel you have to do because it is your moral or legal responsibility,It is my duty to report it to the police.,noun,B1
1301,eager,háo hức,/ˈiːɡə(r)/,very interested and excited by something that is going to happen or about something that you want to do; showing this,She was eager to start her new job.,adjective,C1
1302,earn,kiếm được (tiền…) ,/ɜːn/,to get money for work that you do,He earns about $40 000 a year.,verb,A2
1303,earnings,"tiền kiếm được, tiền lương, thu nhập",/ˈɜːnɪŋz/,the money that you earn for the work that you do,He was surprised by the size of his quarterly earnings.,noun,C1
1304,earth,trái đất,/ɜːθ/,the world; the planet that we live on,The earth rotates on its axis once every 24 hours.,noun,A2
1305,ease,làm dịu (cơ thể hoặc đầu óc),/iːz/,"to become less unpleasant, painful or severe; to make something less unpleasant, etc.",The pain immediately eased.,verb,C1
1306,easily,(một cách) dễ dàng,/ˈiːzəli/,without problems or difficulty,The museum is easily accessible by car.,adverb,A2
1307,eastern,(phía) đông,/ˈiːstən/,located in the east or facing east,Where the eastern hemisphere is?,adjective,B1
1308,easy,"dễ, dễ dàng",/ˈiːzi/,not difficult; done or obtained without a lot of effort or problems,The instructions for assembling the furniture were easy to follow.,adjective,A1
1309,economic,(thuộc) kinh tế,/ˌiːkəˈnɒmɪk/ /ˌekəˈnɒmɪk/,"connected with the trade, industry and development of wealth of a country, an area or a society","They discussed social, economic and political issues.",adjective,B2
1310,economics,kinh tế học,/ˌiːkəˈnɒmɪks/ /ˌekəˈnɒmɪks/,"the study of how a society organizes its money, trade and industry",He studied politics and economics at Yale.,noun,B2
1311,economist,nhà kinh tế học,/ɪˈkɒnəmɪst/,a person who studies or writes about economics,The economist predicted a recession if interest rates were not lowered.,noun,B2
1312,economy,nền kinh tế,/ɪˈkɒnəmi/,"the relationship between production, trade and the supply of money in a particular country or region",The economy is in recession.,noun,B1
1313,edge,"bờ, gờ, rìa, mép",/edʒ/,"the outside limit of an object, a surface or an area; the part furthest from the centre",I gripped the edge of my desk to steady myself.,noun,B1
1314,edition,"ấn bản, phiên bản",/ɪˈdɪʃn/,"the form in which a book, newspaper, etc. is published",I managed to get my hands on a limited edition vinyl of my favorite album.,noun,B2
1315,editor,"chủ bút (báo, tập san…), biên tập viên",/ˈedɪtə(r)/,"a person who is in charge of a newspaper, magazine, etc., or part of one, and who decides what should be included",The editor suggested some changes to improve the flow of the article.,noun,B1
1316,educate,"dạy dỗ, giáo dục",/ˈedʒukeɪt/,"to teach somebody over a period of time at a school, university, etc.",She was educated in the US.,verb,B1
1317,education,"nền giáo dục, hệ thống giáo dục, sự giáo dục",/ˌedʒuˈkeɪʃn/,"a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills",Education is the key to unlocking a better future.,noun,A2
1318,educational,"thuộc ngành giáo dục, có tính giáo dục",/ˌedʒuˈkeɪʃənl/,connected with education,The museum offers a variety of educational programs for visitors of all ages.,adjective,B1
1319,educator,"nhà sư phạm, nhà giáo dục",/ˈedʒukeɪtə(r)/,a person whose job is to teach or educate people,My favorite educator from high school inspired me to pursue a career in teaching.,noun,C1
1320,effect,"tác động, ảnh hưởng, tác dụng",/ɪˈfekt/,a change that somebody/something causes in somebody/something else; a result,The medicine had a positive effect on her symptoms.,noun,A2
1321,effective,"hữu hiệu, có hiệu quả",/ɪˈfektɪv/,producing the result that is wanted or intended; producing a successful result,Aspirin is a simple but highly effective treatment.,adjective,B1
1322,effectively,"(một cách) hữu hiệu, có hiệu quả",/ɪˈfektɪvli/,in a way that produces the intended result or a successful result,The company must reduce costs to compete effectively.,adverb,B1
1323,efficiency,"hiệu suất, hiệu quả, hiệu lực, sản lượng",/ɪˈfɪʃnsi/,the quality of doing something well with no waste of time or money,The company is always looking for ways to improve efficiency and reduce costs.,noun,C1
1324,efficient,"có năng lực, có khả năng, có hiệu lực, hiệu quả",/ɪˈfɪʃnt/,"doing something in a good, careful and complete way with no waste of time, money or energy",The new software has made our work processes much more efficient.,adjective,B2
1325,effort,"sự cố gắng, sự nỗ lực, sự gắng sức",/ˈefət/,an attempt to do something especially when it is difficult to do,The project was a team effort.,noun,B1
1326,either,hoặc cái này hay cái kia (trong hai cái),/ˈaɪðə(r)/ /ˈiːðə(r)/,one or the other of two; it does not matter which,You can park on either side of the street.,"determiner, pronoun",B2
1327,elderly,lớn tuổi; cao tuổi,/ˈeldərli/,used as a polite word for ‘old’,The elderly couple enjoyed taking walks in the park every morning.,adjective,B2
1328,elect,bầu,/ɪˈlekt/,to choose somebody to do a particular job by voting for them,Voters will elect a new president on 30 March next year.,verb,B2
1329,election,"sự bầu cử, cuộc bầu cử, cuộc tuyển cử",/ɪˈlekʃn/,"the process of choosing a person or a group of people for a position, especially a political position, by voting",The upcoming election has been the subject of much debate and speculation.,noun,B1
1330,electric,"(thuộc) điện, tạo điện, phát điện",/ɪˈlektrɪk/,"connected with electricity; using, produced by or producing electricity",The electric car is becoming increasingly popular due to its environmental benefits.,adjective,A2
1331,electricity,điện,/ɪˌlekˈtrɪsəti/,"a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc.",The storm knocked out electricity to the entire neighborhood.,noun,A2
1332,electronic,(thuộc) điện tử,/ɪˌlekˈtrɒnɪk/,involving or connected with electronic equipment,Airline passengers no longer have to turn off all electronic devices while on the plane.,adjective,A2
1333,element,yếu tố,/ˈelɪmənt/,a necessary or typical part of something; one of several parts that something contains,There are three important elements to consider.,noun,B2
1334,elementary,"sơ cấp, sơ đẳng, tiểu học",/ˌelɪˈmentri/,in or connected with the first stages of a course of study,The new teacher at the elementary school is enthusiastic and energetic.,adjective,B2
1335,eliminate,"loại trừ, loại bỏ",/ɪˈlɪmɪneɪt/,to remove or get rid of something,Credit cards eliminate the need to carry a lot of cash.,verb,B2
1336,elite,"thành phần tinh túy, ưu tú, cao cấp",/eɪˈliːt/ /ɪˈliːt/,"belonging to a group of people in society that is small in number but powerful and with a lot of influence, because they are rich, intelligent, etc.",The exclusive club is open only to members of the elite class.,adjective,C1
1337,elsewhere,"ở nơi khác, từ nơi khác, tới nơi khác",/ˌelsˈweə(r)/,"in, at or to another place or other places",Dissatisfied customers will look elsewhere.,adverb,B2
1338,embrace,"sự ôm, cái ôm, vòng tay ôm",/ɪmˈbreɪs/,an act of putting your arms around somebody as a sign of love or friendship,He held her in a warm embrace.,noun,
1339,emerge,"nhô lên, hiện ra, nổi lên",/ɪˈmɜːrdʒ/,to move out of or away from something and become possible to see,The crabs emerge at low tide to look for food.,verb,B2
1340,emergency,"tình huống khẩn cấp, cấp cứu",/ɪˈmɜːdʒənsi/,a sudden serious and dangerous event or situation that needs immediate action to deal with it,This is a medical emergency needing urgent treatment with antibiotics.,noun,B1
1341,emission,"khí thải, sự phát ra, sự bốc ra, sự tỏa ra",/ɪˈmɪʃn/,"the production or sending out of light, heat, gas, etc.",The new regulations aim to reduce carbon emissions from factories and power plants.,noun,B2
1342,emotion,"cảm xúc, sự xúc động",/ɪˈməʊʃn/,"a strong feeling such as love, fear or anger; the part of a person’s character that consists of feelings",She couldn't hide the emotion in her voice as she talked about her late father.,noun,B1
1343,emotional,"(thuộc) cảm xúc, xúc động",/ɪˈməʊʃənl/,connected with people’s feelings (= with the emotions),Watching the movie was an emotional experience that left me in tears.,adjective,B2
1344,emphasis,"sự nhấn mạnh, sự chú trọng",/ˈemfəsɪs/,special importance that is given to something,Since the elections there has been a greater emphasis on education.,noun,B2
1345,emphasize,nhấn mạnh,/ˈemfəsaɪz/,to give special importance to something,His speech emphasized the importance of attracting industry to the town.,verb,B2
1346,employ,"thuê làm, nhận vào làm",/ɪmˈplɔɪ/,to give somebody a job to do for payment,How many people does the company employ?,verb,A2
1347,employee,"người lao động, người làm công",/ɪmˈplɔɪiː/,a person who is paid to work for somebody,The firm has over 500 employees.,noun,A2
1348,employer,"chủ, người sử dụng lao động",/ɪmˈplɔɪə(r)/,a person or company that pays people to work for them,They're very good employers.,noun,A2
1349,employment,"sự làm công, việc làm",/ɪmˈplɔɪmənt/,"work, especially when it is done to earn money; the state of being employed","He was grateful for his steady employment at the local factory, which allowed him to provide for his family.",noun,B1
1350,empty,"rỗng, trống không",/ˈempti/,with no people or things inside,The store shelves were empty after the Black Friday sale.,adjective,A2
1351,enable,"làm cho có thể, tạo điều kiện, cho phép làm gì",/ɪˈneɪbl/,to make it possible for somebody/something to do something,This new programme will enable older people to study at college.,verb,B2
1352,encounter,"gặp, đối mặt với, đụng độ với",/ɪnˈkaʊntə(r)/,"to experience something, especially something unpleasant or difficult, while you are trying to do something else",We encountered a number of difficulties in the first week.,verb,B2
1353,encourage,"khuyến khích, khích lệ, cổ vũ",/ɪnˈkʌrɪdʒ/,"to give somebody support, courage or hope",We were greatly encouraged by the positive response of the public.,verb,B1
1354,enemy,kẻ thù,/ˈenəmi/,a person who hates somebody or who acts or speaks against somebody/something,She didn't have an enemy in the world.,noun,B1
1355,energy,năng lượng,/ˈenədʒi/,"a source of power, such as fuel, used for driving machines, providing heat, etc.",Renewable energy sources such as wind and solar power are becoming increasingly popular.,noun,A2
1356,enforcement,"sự buộc tuân theo, sự đem thi hành (luật lệ), sự cưỡng chế",/ɪnˈfɔːrsmənt/,the act of making people obey a particular law or rule,The new law will require stricter enforcement of safety regulations in the workplace.,noun,C1
1357,engage,"thu hút (sự chú ý), giành được (tình cảm)",/ɪnˈɡeɪdʒ/,to succeed in attracting and keeping somebody’s attention and interest,It is a movie that engages both the mind and the eye.,verb,B2
1358,engine,"máy, động cơ",/ˈendʒɪn/,the part of a vehicle that produces power to make the vehicle move,"The car's engine started making strange noises, so I took it to the mechanic.",noun,A2
1359,engineer,kỹ sư,/ˌendʒɪˈnɪə(r)/,"a person whose job involves designing and building engines, machines, roads, bridges, etc.",We worked with a team of scientists and engineers.,noun,A2
1360,engineering,"kỹ thuật, ngành kỹ thuật",/ˌendʒɪˈnɪərɪŋ/,"the activity of applying scientific knowledge to the design, building and control of machines, roads, bridges, electrical equipment, etc.",My brother studied engineering in college and now works for a construction company.,noun,B1
1361,enhance,"tăng cường, nâng cao",/ɪnˈhæns/,"to increase or further improve the good quality, value or status of somebody/something",This is an opportunity to enhance the reputation of the company.,verb,B2
1362,enjoy,"thích thú, tận hưởng",/ɪnˈdʒɔɪ/,to get pleasure from something,We thoroughly enjoyed our time in New York.,verb,A1
1363,enormous,"to lớn, lớn lao, khổng lồ",/ɪˈnɔːməs/,extremely large,"The elephant was enormous, towering over us at over 10 feet tall.",adjective,A2
1364,ensure,bảo đảm,/ɪnˈʃʊr/,to make sure that something happens or is definite,We are working to ensure the safety of people in the city.,verb,B2
1365,enter,"đi vào, bước vào",/ˈentər/,to come or go into something,Knock before you enter.,verb,A2
1366,enterprise,"công ty kinh doanh, hãng, doanh nghiệp",/ˈentəpraɪz/,a company or business,He is in charge of an enterprise with a turnover of $26 billion.,noun,C1
1367,entertainment,"sự giải trí, sự tiêu khiển",/ˌentəˈteɪnmənt/,"films, music, etc. used to entertain people; an example of this",The amusement park offers a variety of entertainment options for visitors of all ages.,noun,B1
1368,entire,"toàn bộ, hoàn toàn",/ɪnˈtaɪə(r)/,"including everything, everyone or every part",The entire village was destroyed.,adjective,B2
1369,entirely,(một cách) hoàn toàn,/ɪnˈtaɪəli/,in every way possible; completely,The experience was entirely new to me.,adverb,B2
1370,entrance,"cửa vào, lối vào",/ˈen.trəns/,"a door, gate, passage, etc. used for entering a room, building or place",The grand entrance to the palace was decorated with intricate carvings and gold leaf.,noun,B1
1371,entry,"sự đi vào, sự bước vào",/ˈentri/,an act of going into or getting into a place,She made her entry to the sound of thunderous applause.,noun,B2
1372,environment,môi truờng,/ɪnˈvaɪrənmənt/,"the natural world in which people, animals and plants live",The government should do more to protect the environment.,noun,A2
1373,environmental,(thuộc) môi trường,/ɪnˌvaɪrənˈmentl/,"connected with the natural conditions in which people, animals and plants live; connected with the environment",The environmental impact of the oil spill was devastating to the local ecosystem.,adjective,B1
1374,episode,"tập phim, đoạn, hồi, phần, tình tiết",/ˈepɪsəʊd/,one part of a story that is broadcast on television or radio in several parts,The next episode has not yet been filmed.,noun,B1
1375,equally,"(một cách) bằng nhau, (một cách) ngang nhau, (một cách) đều nhau",/ˈiːkwəli/,to the same degree; in the same or in a similar way,The money was divided equally among her four children.,adverb,B1
1376,equipment,"đồ trang bị, thiết bị, dụng cụ, đồ dùng cần thiết",/ɪˈkwɪpmənt/,the things that are needed for a particular purpose or activity,The construction workers were wearing safety equipment on the job site.,noun,A2
1377,era,"kỷ nguyên, thời đại",/ˈɪərə/,"a period of time, usually in history, that is different from other periods because of particular characteristics or events",The Renaissance era produced some of the world's most famous art and literature.,noun,B2
1378,error,"sai sót, lỗi, sai lầm",/ˈerə(r)/,"a mistake, especially one that causes problems or affects the result of something",The error in the calculation led to incorrect results.,noun,A2
1379,escape,"trốn thoát, thoát",/ɪˈskeɪp/,to get away from a place where you have been kept as a prisoner or not allowed to leave,Two prisoners have escaped.,verb,B1
1380,especially,(một cách) đặc biệt,/ɪˈspeʃəli/,"more with one person, thing, etc. than with others, or more in particular circumstances than in others","Teenagers are very fashion conscious, especially girls.",adverb,A2
1381,essay,"tiểu luận, bài luận",/ˈeseɪ/,a short piece of writing by a student as part of a course of study,I have to write an essay this weekend.,noun,A2
1382,essential,"cần thiết, thiết yếu, cốt yếu, chủ yếu",/ɪˈsenʃl/,completely necessary; extremely important in a particular situation or for a particular activity,Having good communication skills is essential for success in any field.,adjective,B2
1383,essentially,về cơ bản,/ɪˈsenʃəli/,"when you think about the true, important or basic nature of somebody/something",There are three essentially different ways of tackling the problem.,adverb,B2
1384,establish,"lập, thành lập, thiết lập",/ɪˈstæblɪʃ/,"to start or create an organization, a system, etc. that is meant to last for a long time",The committee was established in 1912.,verb,B2
1385,establishment,"tổ chức (quân đội, hải quân, hành chính...); cơ sở (kinh doanh, giáo dục,...)",/ɪˈstæblɪʃmənt/,"an organization, a large institution or a hotel","The visa is for foreign nationals wishing to study at a university, college or similar educational establishment.",noun,C1
1386,estate,"bất động sản, cơ ngơi, vùng đất, khu đất",/ɪˈsteɪt/,an area of land with a lot of houses or factories of the same type on it,She lives in a tower block on an estate in London.,noun,B2
1387,estimate,"đánh giá, ước lượng, ước tính",/ˈestɪmeɪt/,"to form an idea of the cost, size, value etc. of something, but without calculating it exactly",I estimate that we will arrive at the airport in about 30 minutes.,verb,B2
1388,ethics,"đạo đức, luân thường đạo lý",/ˈɛθɪks/,moral principles that control or influence a person’s behaviour,"The company's ethics policy emphasizes honesty, integrity, and respect for others.",noun,B2
1389,ethnic,"(thuộc) dân tộc, (thuộc) bộ tộc",/ˈeθnɪk/,connected with or belonging to a nation or people that shares a cultural tradition,"The city is known for its diverse ethnic neighborhoods, each with its own unique cuisine and traditions.",adjective,B2
1390,evaluate,"đánh giá, định giá",/ɪˈvæljueɪt/,"to form an opinion of the amount, value or quality of something after thinking about it carefully",The trial will evaluate the effectiveness of the different drugs.,verb,B2
1391,evaluation,"sự ước lượng, sự đánh giá",/ɪˌvæljuˈeɪʃn/,"the act of forming an opinion of the amount, value or quality of something after thinking about it carefully",The evaluation of the new software took longer than expected.,noun,B2
1392,event,sự kiện,/ɪˈvent/,"a thing that happens, especially something important",I'm going to an event tonight with some friends from work.,noun,A1
1393,eventually,"cuối cùng, rốt cuộc",/ɪˈventʃuəli/,at the end of a period of time or a series of events,Our flight eventually left five hours late.,adverb,B1
1394,evidence,"bằng chứng, chứng cứ",/ˈevɪdəns/,"the facts, signs or objects that make you believe that something is true",Researchers have found clear scientific evidence of a link between exposure to sun and skin cancer.,noun,A2
1395,evolution,sự tiến hóa,/ˌiːvəˈluːʃn/ /ˌevəˈluːʃn/,"the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment",The theory of evolution is widely accepted among the scientific community.,noun,B2
1396,evolve,"phát triển, tiến hóa",/ɪˈvɒlv/,"to develop gradually, especially from a simple to a more complicated form; to develop something in this way",Organisms evolve over time in response to changes in their environment.,verb,B2
1397,exact,"chính xác, đúng",/ɪɡˈzækt/,correct in every detail,The new palace is an exact replica of the original building.,adjective,A2
1398,exactly,"(một cách) chính xác, đúng đắn",/ɪɡˈzæktli/,used to emphasize that something is correct in every way or in every detail,I'm not sure exactly what time the movie starts.,adverb,A2
1399,examination,sự kiểm tra,/ɪɡˌzæmɪˈneɪʃn/,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do",The doctor ordered a thorough examination of the patient's symptoms.,noun,B2
1400,examine,"xem xét, nghiên cứu, kiểm tra",/ɪɡˈzæmɪn/,"to consider or study an idea, a subject, etc. very carefully",This study sets out to examine in detail the possible effects of climate change.,verb,B1
1401,example,"ví dụ, thí dụ",/ɪɡˈzɑːmpl/,"something such as an object, a fact or a situation that shows, explains or supports what you say",Let me give you an example.,noun,A1
1402,exceed,vượt quá,/ɪkˈsiːd/,to be greater than a particular number or amount,The price will not exceed £100.,verb,B2
1403,excellent,"xuất sắc, tuyệt vời",/ˈeksələnt/,extremely good,The food at the restaurant was excellent.,adjective,A2
1404,except,"ngoại trừ, trừ ra",/ɪkˈsept/,used before you mention the only thing or person about which a statement is not true,We work every day except Sunday.,preposition,A2
1405,exception,"cái trừ ra, cái loại ra, ngoại lệ",/ɪkˈsepʃn/,a person or thing that is not included in a general statement,"Most of the buildings in the town are modern, but the church is an exception.",noun,B2
1406,exchange,sự trao đổi,/ɪksˈtʃeɪndʒ/,an act of giving something to somebody or doing something for somebody and receiving something in return,The exchange of prisoners took place this morning.,noun,B1
1407,exciting,"náo động, hứng thú, thú vị",/ɪkˈsaɪtɪŋ/,causing great interest or excitement,This is an exciting opportunity for me.,adjective,A1
1408,executive,"ban điều hành, ban quản trị; ủy viên ban điều hành, ủy viên ban quản trị",/ɪɡˈzekjətɪv/,a person who has an important job as a manager of a company or an organization,The executive team met to discuss the company's financial performance.,noun,B2
1409,exercise,"sự tập luyện, bài tập luyện, bài thể dục",/ˈeksəsaɪz/,physical or mental activity that you do to stay healthy or become stronger,Swimming is good exercise.,noun,A1
1410,exhibit,vật triển lãm; bộ sưu tập triển lãm (ở nhà bảo tàng…),/ɪɡˈzɪbɪt/,"an object or a collection of objects put in a public place, for example a museum, so that people can see it",The museum contains some interesting exhibits on Spanish rural life.,noun,B2
1411,exhibition,cuộc triển lãm; bộ sưu tập triển lãm,/ˌeksɪˈbɪʃn/,"a collection of things, for example works of art, that are shown to the public",Have you seen the Picasso exhibition?,noun,B1
1412,exist,"có, tồn tại",/ɪɡˈzɪst/,to be real; to be present in a place or situation,Does life exist on other planets?,verb,A2
1413,existence,"sự tồn tại, sự có",/ɪɡˈzɪstəns/,the state or fact of being real or living or of being present,I was unaware of his existence until today.,noun,B2
1414,existing,hiện tại; hiện hành; hiện nay,/ɪɡˈzɪstɪŋ/,found or used now,New laws will soon replace existing legislation.,adjective,
1415,expand,"trải ra, mở rộng",/ɪkˈspænd/,"if a business expands or is expanded, new branches are opened, it makes more money, etc.",The company plans to expand its operations into several new markets.,verb,B1
1416,expansion,"sự mở rộng, sự bành trướng, sự phát triển",/ɪkˈspænʃn/,"an act of increasing or making something increase in size, amount or importance",The company's expansion into new markets was a major success.,noun,B2
1417,expect,"mong đợi, chờ mong; hy vọng",/ɪkˈspekt/,to think or believe that something will happen or that somebody will do something,The company is expecting record sales this year.,verb,B2
1418,expectation,"sự trông chờ, sự hy vọng, sự kỳ vọng",/ˌekspekˈteɪʃn/,a belief that something will happen because it is likely,We are confident in our expectation of a full recovery.,noun,B2
1419,expense,chi phí,/ɪkˈspens/,the money that you spend on something,The garden was transformed at great expense.,noun,B2
1420,expensive,đắt tiền,/ɪkˈspensɪv/,costing a lot of money,The designer dress was too expensive for my budget.,adjective,A1
1421,experience,kinh nghiệm,/ɪkˈspɪəriəns/,the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this,My lack of practical experience was a disadvantage.,noun,B2
1422,experiment,"thí nghiệm, cuộc thí nghiệm",/ɪkˈsperɪmənt/,a scientific test that is done in order to study what happens and to gain new knowledge,The scientists conducted an experiment to test their hypothesis.,noun,A2
1423,expert,"chuyên gia, chuyên viên",/ˈekspɜːt/,"a person with special knowledge, skill or training in something",She is an expert in the field of neuroscience.,noun,A2
1424,explain,giải thích,/ɪkˈspleɪn/,"to give a reason, or be a reason, for something",She tried to explain but he wouldn't listen.,verb,A1
1425,explanation,sự giải thích; lời giải thích,/ˌekspləˈneɪʃn/,"a statement, fact, or situation that tells you why something happened; a reason given for something",The most likely explanation is that his plane was delayed.,noun,A2
1426,explode,"(làm) nổ, phát nổ",/ɪkˈspləʊd/,"to break apart or make something burst loudly and violently, causing damage",A second bomb exploded in a crowded market.,verb,B1
1427,explore,thám hiểm,/ɪkˈsplɔː(r)/,to travel to or around an area or a country in order to learn about it,As soon as we arrived on the island we were eager to explore.,verb,B2
1428,explosion,"sự nổ, vụ nổ, tiếng nổ",/ɪkˈspləʊʒn/,the sudden violent bursting and loud noise of something such as a bomb exploding; the act of deliberately causing something to explode,The loud explosion startled everyone in the neighborhood.,noun,B1
1429,expose,"phơi bày ra, phô ra; bóc trần, phơi trần, vạch trần, bộc lộ",/ɪkˈspəʊz/,to show something that is usually hidden,"He smiled suddenly, exposing a set of amazingly white teeth.",verb,B2
1430,exposure,"sự phơi nhiễm, sự đặt vào (nơi nguy hiểm), sự đặt vào tình thế dễ bị (tai nạn...)",/ɪkˈspəʊʒə(r)/,the state of being in a place or situation where there is no protection from something harmful or unpleasant,You should always limit your exposure to the sun.,noun,B2
1431,express,"bày tỏ, biểu lộ",/ɪkˈspres/,"to show or make known a feeling, an opinion, etc. by words, looks or actions",Teachers have expressed concern about the changes.,verb,A2
